ident,type,iso_country,lat,lon,tz
03N,small_airport,MH,11.222219,169.851429,Pacific/Majuro
05AK,small_airport,US,61.668301,-149.188004,America/Anchorage
07FA,medium_airport,US,25.325399,-80.274803,America/New_York
16A,small_airport,US,60.905591,-162.440454,America/Nome
19P,seaplane_base,US,56.328800,-133.610001,America/Sitka
1RL,small_airport,US,48.977316,-123.079294,America/Los_Angeles
2U7,small_airport,US,44.208500,-114.934998,America/Boise
2WA3,small_airport,US,48.683991,-123.222849,America/Los_Angeles
38WA,small_airport,US,48.579162,-122.823844,America/Los_Angeles
4A2,small_airport,US,60.866699,-162.272996,America/Nome
4K0,small_airport,US,59.796925,-154.129994,America/Anchorage
4K5,small_airport,US,57.942094,-152.464314,America/Anchorage
4KA,small_airport,US,60.569638,-165.246649,America/Nome
4Z7,seaplane_base,US,55.903324,-130.009975,America/Sitka
51Z,small_airport,US,65.147991,-149.368658,America/Anchorage
5A8,medium_airport,US,59.282600,-158.617996,America/Anchorage
5KE,seaplane_base,US,55.349899,-131.677002,America/Sitka
5Z9,seaplane_base,US,58.554798,-155.776993,America/Anchorage
6N5,heliport,US,40.742372,-73.972074,America/New_York
6N7,seaplane_base,US,40.735061,-73.972814,America/New_York
6Y8,small_airport,US,45.720503,-85.518866,America/Detroit
78WA,small_airport,US,48.490046,-122.831612,America/Los_Angeles
7KA,small_airport,US,60.871449,-146.690297,America/Anchorage
7WA5,small_airport,US,48.673379,-123.175439,America/Los_Angeles
89D,small_airport,US,41.602960,-82.687054,America/New_York
89TE,small_airport,US,29.278000,-103.686997,America/Chicago
90WA,small_airport,US,48.711410,-123.018208,America/Los_Angeles
96Z,seaplane_base,US,56.116299,-133.121994,America/Sitka
9A3,small_airport,US,61.579102,-159.216003,America/Anchorage
A29,seaplane_base,US,57.052101,-135.345993,America/Sitka
A61,small_airport,US,60.351243,-162.654476,America/Nome
A63,small_airport,US,59.074713,-160.274992,America/Anchorage
A79,small_airport,US,56.255001,-158.774994,America/Anchorage
AE-0001,small_airport,SA,24.214693,51.449890,Asia/Riyadh
AE-0221,medium_airport,AE,24.441280,54.516960,Asia/Dubai
AEI,heliport,ES,36.128820,-5.441079,Europe/Madrid
AF-0017,small_airport,AF,33.333401,69.952003,Asia/Kabul
AF15,heliport,AF,37.423302,69.430298,Asia/Kabul
AG-0001,medium_airport,AG,17.621194,-61.798347,America/Antigua
AGGA,small_airport,SB,-8.702570,160.682007,Pacific/Guadalcanal
AGGB,small_airport,SB,-11.302222,159.798333,Pacific/Guadalcanal
